nombre_negocio,categoria,estado,ciudad,telefono,email,sitio_web,rating,review_count
CENTRAL DE CARNES ROMO #2,Carnicería,Coahuila,Ciudad Acuña,877 773 5281,,,4.4,123
CENTRAL DE CARNES ROMO #4,Carnicería,Coahuila,Ciudad Acuña,877 888 8770,,,5,3
Carlos me bale berga,Carnicería,Coahuila,Ciudad Acuña,877 888 8770,,,5,2
Carne Mart,Carnicería,Coahuila,Ciudad Acuña,7731435,,https://carnemart.com,4.1,67
Carnemart,Carnicería,Coahuila,Ciudad Acuña,877 888 2317,,https://carnemart.com,4.6,41
Carnes EL OLMO,Carnicería,Coahuila,Ciudad Acuña,,,,5,2
Carnes del Norte,Carnicería,Coahuila,Ciudad Acuña,,,,4.2,9
Carniceria Antopia,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria Barrio,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria Del Valle,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria El Buen Pastor,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria El Novillo,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria Estrada,Carnicería,Coahuila,Ciudad Acuña,877 139 7637,,,5,1
Carniceria Galvan,Carnicería,Coahuila,Ciudad Acuña,,juanjaimegc@yahoo.com.mx,,,
Carniceria Hermanos Garcia,Carnicería,Coahuila,Ciudad Acuña,,,,,
Carniceria Potosina,Carnicería,Coahuila,Ciudad Acuña,,,,5,1
Carnicería Galván,Carnicería,Coahuila,Ciudad Acuña,877 772 5515,,https://www.facebook.com/carniceria.gal,4.7,7
Carnicería hnos. Garcia,Carnicería,Coahuila,Ciudad Acuña,877 772 7899,,,5,4
Carnitas y chicharrones ejem central,Carnicería,Coahuila,Ciudad Acuña,,,,,0
"Central De Carnes Romo, S.A. De C.V.",Carnicería,Coahuila,Ciudad Acuña,877 772 3500,,,4.1,31
Central de Carnes Romo,Carnicería,Coahuila,Ciudad Acuña,877 773 5196,,,5,2
Central de Carnes Romo 2 Suc Centro,Carnicería,Coahuila,Ciudad Acuña,877 110 2833,,,5,22
Distribuidora Internacional de Carne y Alimentos,Carnicería,Coahuila,Ciudad Acuña,877 773 1149,,,4.5,2
El Jefe Picudo,Carnicería,Coahuila,Ciudad Acuña,,,,4.5,29
SuKarne,Carnicería,Coahuila,Ciudad Acuña,877 107 9308,,,5,1
Super Carnicería Romo,Carnicería,Coahuila,Ciudad Acuña,877 100 5303,,,4.7,3
COMERCIALIZADORA DEL PUEBLO LOMBRAÑA,Lácteos,Coahuila,Ciudad Acuña,877 772 6549,,,4.3,129
Distribuidora Lácteos Santa María,Lácteos,Coahuila,Ciudad Acuña,,,,5,3
Productos Lacteos Santa Maria,Lácteos,Coahuila,Ciudad Acuña,,,,5,4
Productos Lácteos Santa María Sucursal Centro,Lácteos,Coahuila,Ciudad Acuña,877 772 2100,,,4.5,255
Ana's Bakery,Panadería,Coahuila,Ciudad Acuña,,,,5,1
Capricho's Pastelerias (Centro),Panadería,Coahuila,Ciudad Acuña,877 888 0254,,http://www.caprichospastelerias.com.mx,4.5,65
Casa Dulce,Panadería,Coahuila,Ciudad Acuña,,,,4.9,18
Los abuelos,Panadería,Coahuila,Ciudad Acuña,877 113 6990,,,5,1
Min Super Y Panaderia Kukis,Panadería,Coahuila,Ciudad Acuña,,,,,
"Panaderia ""La Gloria""",Panadería,Coahuila,Ciudad Acuña,877 772 3065,,,4.5,54
Panaderia 3 Reyes,Panadería,Coahuila,Ciudad Acuña,,,,,
Panaderia Aguilar,Panadería,Coahuila,Ciudad Acuña,8771910959,,,,
Panaderia Anahi,Panadería,Coahuila,Ciudad Acuña,,,,,
Panaderia Chapa,Panadería,Coahuila,Ciudad Acuña,,,,,
Panaderia Divina Providencia,Panadería,Coahuila,Ciudad Acuña,,,,,
Panaderia El Buen Gusto,Panadería,Coahuila,Ciudad Acuña,8777726579,,,4.5,36
Panaderia El Buen Gusto Dos,Panadería,Coahuila,Ciudad Acuña,,,,,
Panadería Los Merengues,Panadería,Coahuila,Ciudad Acuña,877 136 1975,,http://panaderia-merengues.slue.io,4.3,137
Panadería Y Pastelería Chapa,Panadería,Coahuila,Ciudad Acuña,877 772 4244,,http://panaderia-v.slue.io,4.3,146
Panaderías Hortensia,Panadería,Coahuila,Ciudad Acuña,877 792 8652,,,4.3,26
Pastelería D'Letty,Panadería,Coahuila,Ciudad Acuña,877 888 1382,,,4.7,31
Pastelería Mr. Cake Acuña,Panadería,Coahuila,Ciudad Acuña,862 123 2458,,,5,5
"Pastelería Y Panadería ""El Amigo""",Panadería,Coahuila,Ciudad Acuña,877 118 6169,,,4.8,5
Raíces - Panadería & Café,Panadería,Coahuila,Ciudad Acuña,877 118 4392,,,4.4,106
Suspiros Pastelerias Suc Adolfo Lopez Mateos,Panadería,Coahuila,Ciudad Acuña,877 772 2091,,http://www.suspirospastelerias.com,4.2,88
Suspiros Pastelerias Suc Guerrero,Panadería,Coahuila,Ciudad Acuña,877 772 2091,,http://www.suspirospastelerias.com,3.9,55
VOLOVAN VOLO - PANADERÍA Y REPOSTERÍA,Panadería,Coahuila,Ciudad Acuña,877 140 9524,,,5,3
Ñam Ñam Cakes Repostería,Panadería,Coahuila,Ciudad Acuña,,,,5,2
Quesería Reyes,Queso/Quesería,Coahuila,Ciudad Acuña,877 114 9542,,,5,2
DeliYogurt,Yogurt,Coahuila,Ciudad Acuña,,,,3,2
Farina La Casa Del Panque,Yogurt,Coahuila,Ciudad Acuña,877 108 3083,,https://farinalacasadelpanque.com,4.6,66
Naturals Fibra,Yogurt,Coahuila,Ciudad Acuña,877 136 4122,,,4.9,20
Yukis La Villita Acuña,Yogurt,Coahuila,Ciudad Acuña,81 1634 2520,,,3.8,4
SÚPER CARNES LUIS,Carnicería,Coahuila,Frontera,866 633 1212,,,4.2,92
LACTEOS EL AGUILA,Lácteos,Coahuila,Frontera,,,,5,2
Paty's,Panadería,Coahuila,Frontera,866 634 2548,,,4.6,198
Quesería Cabrimat,Queso/Quesería,Coahuila,Matamoros,871 173 8630,,http://www.facebook.com/Cabrimat,4.8,31
Boutique De Carnes Magno Monclova,Carnicería,Coahuila,Monclova,866 633 0900,,,4.6,61
Carne Mart,Carnicería,Coahuila,Monclova,800 216 0530,,http://www.grupobafar.com,4.7,59
Carnes El Ranchero,Carnicería,Coahuila,Monclova,866 631 0040,,https://www.facebook.com/profile.php?id=100088965409050,4.8,37
Carnes Monterrey,Carnicería,Coahuila,Monclova,866 105 8920,,,4.3,13
Carnes Selectas Riojas,Carnicería,Coahuila,Monclova,866 634 4485,,https://www.riojacarnesselectas.com,4.7,50
Carniceria,Carnicería,Coahuila,Monclova,,,,,
Carniceria Abrego,Carnicería,Coahuila,Monclova,,,,,
Carniceria Aldama,Carnicería,Coahuila,Monclova,,,,,
Carniceria Beef House,Carnicería,Coahuila,Monclova,,,,,
Carniceria Brigano,Carnicería,Coahuila,Monclova,,,,,
Carniceria Carranza,Carnicería,Coahuila,Monclova,,,,,
Carniceria Cordova,Carnicería,Coahuila,Monclova,,,,,
Carniceria El Bayo,Carnicería,Coahuila,Monclova,,,,,
Carniceria El Primo,Carnicería,Coahuila,Monclova,8661479231,,,,
Carniceria El Ranchero,Carnicería,Coahuila,Monclova,8666310040,,,,
Carniceria El Torito,Carnicería,Coahuila,Monclova,8666337839,,,,
Carniceria Guerrero,Carnicería,Coahuila,Monclova,8666321162,javierguerrero.rios@hotmail.com,,4.6,14
Carniceria Iruegas,Carnicería,Coahuila,Monclova,8661360723,,,,
Carniceria LA PALOMA,Carnicería,Coahuila,Monclova,866 648 2521,,,4.7,18
Carnicería Guerrero,Carnicería,Coahuila,Monclova,866 643 3589,,,4.9,14
Carnicería Rivas,Carnicería,Coahuila,Monclova,866 633 0828,,,4.6,25
El Ofertón de Carnes,Carnicería,Coahuila,Monclova,866 635 2095,,http://ofertondecarnes.com,4.4,607
El Torito,Carnicería,Coahuila,Monclova,866 142 2896,,,4.5,117
Mega Carnes El Torito,Carnicería,Coahuila,Monclova,866 633 0101,,,4.6,441
Rivas,Carnicería,Coahuila,Monclova,866 633 7788,,https://carnesrivas.com,4.6,36
SURTIDORA DE CARNES MONCLOVA,Carnicería,Coahuila,Monclova,866 631 1669,,http://surtidoradecarnesmonclova.com,4.1,33
SuKarne,Carnicería,Coahuila,Monclova,866 632 1895,,http://sukarne.com,4.4,31
Súper Alán,Carnicería,Coahuila,Monclova,866 633 3100,,,4.7,20
Súper Carnes Chuy,Carnicería,Coahuila,Monclova,866 633 2502,,,4.5,268
Súper Carnes Max,Carnicería,Coahuila,Monclova,866 133 4717,,,3.8,4
Alimentos Saga de Monclova,Leche,Coahuila,Monclova,866 634 0387,,,4.5,19
Central de Dulces,Leche,Coahuila,Monclova,866 633 6200,,,4.1,1452
Central de Dulces suc. Pape,Leche,Coahuila,Monclova,866 635 5808,,,4.2,897
DISTRIBUIDORA ROCIO,Leche,Coahuila,Monclova,,,,1,1
Distribuidora De Liconsa,Leche,Coahuila,Monclova,,,,,
Distribuidora Glaner,Leche,Coahuila,Monclova,,contabilidad.glaner@gmail.com,,,
Dulces Ale,Leche,Coahuila,Monclova,866 633 4546,,https://www.facebook.com/dulcestradicionalesmexico?mibextid=ZbWKwL,4.9,94
Forrajera Central de Monclova,Leche,Coahuila,Monclova,866 144 7520,,https://www.facebook.com/Forrajera-Central-de-Monclova-101090892103678,4.6,7
Forrajera el potrero,Leche,Coahuila,Monclova,866 170 0057,,https://www.facebook.com/forrajera.potrero,4.6,33
Chicken Planet,Lácteos,Coahuila,Monclova,866 634 7818,,,4.4,24
El Águila y San José,Lácteos,Coahuila,Monclova,866 633 0900,,,,0
Expendio Vaquero,Lácteos,Coahuila,Monclova,866 635 3314,,,4.4,89
Food Tráiler's Manufacturing Elecsa Monclova,Lácteos,Coahuila,Monclova,81 1383 8952,,,5,5
Food trailers CV,Lácteos,Coahuila,Monclova,866 160 3971,,,4,1
LACTEOS PALOS,Lácteos,Coahuila,Monclova,,,,,0
La Hacienda,Lácteos,Coahuila,Monclova,866 631 6192,,,3.6,193
Lácteos Palos,Lácteos,Coahuila,Monclova,866 254 7323,,,5,1
Quesos El Pueblo,Lácteos,Coahuila,Monclova,866 633 4609,,,4.8,246
Daniel's Panadería,Panadería,Coahuila,Monclova,,,,4.8,47
Delicias Del Chef Panaderia,Panadería,Coahuila,Monclova,,,,,
El Girasol,Panadería,Coahuila,Monclova,866 633 6820,,,4.7,44
El Roble,Panadería,Coahuila,Monclova,866 631 4131,,,4.4,47
La Morusa Panaderia,Panadería,Coahuila,Monclova,,,,,
Miscelanea Y Panaderia Don Lalo,Panadería,Coahuila,Monclova,,,,,
Morelos,Panadería,Coahuila,Monclova,,,,4.6,32
Olikar,Panadería,Coahuila,Monclova,866 137 7378,,https://www.facebook.com/share/17BsJW5w6N/?mibextid=wwXIfr,4.5,153
Paff,Panadería,Coahuila,Monclova,866 632 4846,,,4.5,135
Paff Pasteleria,Panadería,Coahuila,Monclova,866 641 4001,,,4.7,15
Panaderia,Panadería,Coahuila,Monclova,,,,,
Panaderia Daniels,Panadería,Coahuila,Monclova,,,,,
Panaderia El Girasol,Panadería,Coahuila,Monclova,,,,,
Panaderia El Lucero,Panadería,Coahuila,Monclova,8662555956,,,,
Panaderia El Roble,Panadería,Coahuila,Monclova,8666314131,,,,
Panaderia Elda,Panadería,Coahuila,Monclova,8661462640,,,,
Panaderia Los Pinos,Panadería,Coahuila,Monclova,,,,4,1
Panadería,Panadería,Coahuila,Monclova,866 632 3868,,,5,3
Panadería El Roble,Panadería,Coahuila,Monclova,,,,5,6
Panadería Imperial,Panadería,Coahuila,Monclova,866 636 9789,,,4.4,19
Panadería Los Pinos,Panadería,Coahuila,Monclova,866 635 7566,,,4.6,109
Pastelería Gloria,Panadería,Coahuila,Monclova,,,,5,11
Pastelería Mr. Cake Monclova,Panadería,Coahuila,Monclova,,,,4.1,35
Sara-Elisa,Panadería,Coahuila,Monclova,866 105 6427,,,4.7,33
Tatangelo,Panadería,Coahuila,Monclova,866 633 0626,,,4.7,83
Quesería y algo más,Queso/Quesería,Coahuila,Monclova,866 207 5131,,,5,1
All Natural Salud Para Tu Vida,Yogurt,Coahuila,Monclova,,,,5,4
H-E-B Pape,Yogurt,Coahuila,Monclova,866 105 2535,,https://www.heb.com.mx,4.5,3713
Helados La Sultana del Norte,Yogurt,Coahuila,Monclova,866 633 1135,,https://es-la.facebook.com/HeladosLaSultanaDelNorte,4.6,376
La Taraska Helados y Paletas,Yogurt,Coahuila,Monclova,,,,4.7,150
Mi Yogu,Yogurt,Coahuila,Monclova,866 216 9070,,https://www.facebook.com/MiYogu.Helados,3.5,2
Miscelánea Sagitario,Yogurt,Coahuila,Monclova,866 135 4345,,https://www.facebook.com/modeloramasagitarioYCarbonSagitario,4.9,26
Spyral Helados,Yogurt,Coahuila,Monclova,,,,4.5,2
Yogufrut,Yogurt,Coahuila,Monclova,,,,4.7,111
Carnes Selectas de Acuña,Carnicería,Coahuila,MÉXICO,7729843,,,4.3,3
1939 Ranch,Carnicería,Coahuila,Piedras Negras,878 114 1111,,https://1939ranch.com,5,2
Abarrotes Y Carniceria Adelita,Carnicería,Coahuila,Piedras Negras,8781565671,,,,
Abarrotes Y Carniceria Hernandez Serrato,Carnicería,Coahuila,Piedras Negras,8781151203,,,,
Abarrotes y Carnicería García,Carnicería,Coahuila,Piedras Negras,878 114 2004,,,4.2,110
Alkosa,Carnicería,Coahuila,Piedras Negras,878 127 6856,,http://alkosa.slue.io,4.3,268
Butcher Boutique,Carnicería,Coahuila,Piedras Negras,878 137 7909,,,4.7,10
CENTRAL DE CARNES SANTA LUCÍA,Carnicería,Coahuila,Piedras Negras,878 783 4146,,,4.7,18
Carne Mart,Carnicería,Coahuila,Piedras Negras,878 795 5192,,https://carnemart.com,4.6,58
Carnes De Coahuila,Carnicería,Coahuila,Piedras Negras,878 112 0253,,,4.4,5
Carnes Finas de Coahuila,Carnicería,Coahuila,Piedras Negras,878 783 0445,,,4,24
Carnes Los Sombreros,Carnicería,Coahuila,Piedras Negras,,,http://www.los-sombreros.com.mx,4.7,7
Carniceria Butcher Boutique,Carnicería,Coahuila,Piedras Negras,8781377909,fcolpz89@gmail.com,,,
Carniceria El Becerro De Oro,Carnicería,Coahuila,Piedras Negras,,,,,
Carniceria El Rey,Carnicería,Coahuila,Piedras Negras,878 111 1108,,https://ranchoelrey.com,,0
Carniceria El Torito,Carnicería,Coahuila,Piedras Negras,8783356194,,,,
Carniceria Garcia,Carnicería,Coahuila,Piedras Negras,,,,,
Carniceria Hernandez,Carnicería,Coahuila,Piedras Negras,,,,,
Carniceria Lechler - Plaza Patiño,Carnicería,Coahuila,Piedras Negras,878 782 4727,,https://www.facebook.com/Carniceria-Lechler-1323661204357700,4.4,17
Carnicería Jimenez,Carnicería,Coahuila,Piedras Negras,,,,4,2
Carnicería Lechler,Carnicería,Coahuila,Piedras Negras,878 209 6648,,,4.4,44
Carnicería Rodríguez,Carnicería,Coahuila,Piedras Negras,878 782 1743,,,4.8,25
Central de carnes romo,Carnicería,Coahuila,Piedras Negras,,,,4.8,5
Meat House,Carnicería,Coahuila,Piedras Negras,878 783 5498,,https://www.meathouse.mx/?fbclid=IwAR2bSFg8sjAlPvVrEYramABwIWo_M3qZlpdWGiJj_WLTwS0nViWfKD2qJjE,5,2
Punto Prime,Carnicería,Coahuila,Piedras Negras,,,http://puntoprimepn.com,,0
SuKarne,Carnicería,Coahuila,Piedras Negras,878 782 0707,,http://sukarne.com,4.1,16
BOTANAS Y DERIVADOS - PIEDRAS NEGRAS,Leche,Coahuila,Piedras Negras,878 786 1837,,https://www.bydsa.com,5,4
Distribuidora Glaner,Leche,Coahuila,Piedras Negras,8787861016,distribuidoraglanerpn@gmail.com,,,
Distribuidora Moctezuma de Piedras Negras,Leche,Coahuila,Piedras Negras,878 783 8838,,,4.6,31
Dulcería,Leche,Coahuila,Piedras Negras,878 783 5060,,https://www.superdulceriasalas.com,4.3,8
El Stand del Gordo,Leche,Coahuila,Piedras Negras,,,,,0
Mas Bodega y Logística,Leche,Coahuila,Piedras Negras,878 783 9697,,https://www.facebook.com/PLAZAPIEDRASNEGRAS,4.3,151
Mercado de Dulces,Leche,Coahuila,Piedras Negras,878 782 4192,,https://mercadodedulces.com,4.5,551
Súper Dulcería Salas,Leche,Coahuila,Piedras Negras,878 782 1409,,https://www.superdulceriasalas.com,4.5,141
Todo Pastel Materias Primas,Leche,Coahuila,Piedras Negras,878 161 1378,,,4.8,11
Productos Lacteos Santa Maria,Lácteos,Coahuila,Piedras Negras,878 782 0129,,,4.7,21
Quesos Flamingos,Lácteos,Coahuila,Piedras Negras,,,,4.8,6
Capricho's Pastelerias (Tecnológico),Panadería,Coahuila,Piedras Negras,878 783 3958,,http://www.caprichospastelerias.com.mx,4.6,117
Capricho's Pastelerías (Matriz Las Fuentes),Panadería,Coahuila,Piedras Negras,878 786 9652,,http://www.caprichospastelerias.com.mx,4.5,251
Charis Elizondo Repostería Francomexicana,Panadería,Coahuila,Piedras Negras,878 233 3489,,,4.9,150
Chaud Pain,Panadería,Coahuila,Piedras Negras,878 137 7031,,,5,6
Confetti Pasteleria Y Panaderia,Panadería,Coahuila,Piedras Negras,,,,,
Dinorah Rodríguez Pastelería,Panadería,Coahuila,Piedras Negras,878 782 9061,,https://www.instagram.com/by.dinorahrodriguez,4.8,48
La Carlota Panaderia,Panadería,Coahuila,Piedras Negras,8787894537,lacarlotapanaderoa@gmail.com,,,
La Carlotta Panadería,Panadería,Coahuila,Piedras Negras,878 789 4730,,,5,2
Los Abuelos Panaderia,Panadería,Coahuila,Piedras Negras,878 789 7291,,,4.8,6
Nonpareils Bakery,Panadería,Coahuila,Piedras Negras,878 795 2368,,http://www.nonpareilsbakery.com,4,34
Nonpareils Bakery Sucursal San Felipe,Panadería,Coahuila,Piedras Negras,878 795 2568,,http://www.nonpareilsbakery.com,4.2,84
Panaderia,Panadería,Coahuila,Piedras Negras,8787012057,,,,
Panaderia Amorepan,Panadería,Coahuila,Piedras Negras,,,,,
Panaderia Don Juan,Panadería,Coahuila,Piedras Negras,,,,,
Panaderia El Hermano,Panadería,Coahuila,Piedras Negras,,,,,
Panaderia El Teibol,Panadería,Coahuila,Piedras Negras,8781574893,,,,
Panaderia Guzman,Panadería,Coahuila,Piedras Negras,8785932428,,,,
Panadería La Artesana(Exclusiva De Oxxo),Panadería,Coahuila,Piedras Negras,878 791 6192,,,4.8,13
Panadería La Patrona,Panadería,Coahuila,Piedras Negras,878 108 6998,,,3.7,7
Panadería La Tradicional,Panadería,Coahuila,Piedras Negras,,,,4.1,13
Panadería Mary Chuy,Panadería,Coahuila,Piedras Negras,,,,4.9,7
Panadería “La Fe” Piedras Negras,Panadería,Coahuila,Piedras Negras,878 108 8733,,,4,1
Panificadora La Roca de Oro,Panadería,Coahuila,Piedras Negras,878 783 5441,,,3.8,31
Panificadora la tradicional,Panadería,Coahuila,Piedras Negras,878 782 0282,,,4.6,171
Pantastico panadería y restaurante,Panadería,Coahuila,Piedras Negras,,,,4.9,18
Pastelería Mr.Cake Av.Industrial,Panadería,Coahuila,Piedras Negras,878 104 4308,,,4.6,37
Repostería ReKaVaNa,Panadería,Coahuila,Piedras Negras,878 114 5587,,,,0
Quesos Chilchota,Queso/Quesería,Coahuila,Piedras Negras,,,,4.3,59
Almohaditas Gourmet,Yogurt,Coahuila,Piedras Negras,,,,5,2
Artesanías Puebla Piedras Negras,Yogurt,Coahuila,Piedras Negras,878 108 3500,,http://www.facebook.com/ArtesaniasPueblaPN,3.7,3
Bajo Cero Nieve de Yogurt,Yogurt,Coahuila,Piedras Negras,,,,4.7,16
Be Berry,Yogurt,Coahuila,Piedras Negras,33 4040 9918,,https://www.beberry.com,4.2,60
